iyear,ingroup,ingroup2,ingroup3,nperps,nperpcap,nkill,nkillter,nwound,nwoundte,propextent,propvalue
1970,638,,,-99,-99,1,0,0,0,,
1970,3504,,,,,0,,0,,,
1970,-9,,,1,,0,,0,,,
1970,453,,,1,-99,0,0,0,0,3,
1970,3956,,,,,0,,0,,3,2000
1970,3956,,,,,0,,0,,3,1500
1970,3956,,,,,0,,0,,3,2000
1970,3956,,,,,0,,0,,3,3000
1970,3616,,,,,1,,0,,,
1970,2373,,,12,-99,0,0,2,0,,
1970,417,,,,,2,,,,,
1970,453,,,-99,-99,0,0,0,0,3,
1970,3516,,,,,0,,0,,4,
1970,3516,,,4,,0,,0,,3,15000
1970,3516,,,2,,0,,0,,3,2500
1970,619,,,,,0,,0,,,
1970,623,,,5,,,,,,3,2500
1970,453,,,-99,-99,0,0,1,0,3,
